Num_Acc;an;mois;jour;hrmn;lum;agg;atm;col;dep
201400000001;14;5;7;2015;1;2;1;3;59
201400000002;14;5;31;430;1;2;1;6;59
201400000003;14;8;23;1800;1;2;1;3;59
201400000004;14;6;12;1700;1;2;1;1;59
201400000005;14;6;23;500;2;1;1;1;59
201400000006;14;10;11;630;5;1;2;2;59
201400000007;14;10;11;1445;1;2;1;7;59
201400000008;14;10;16;1200;1;2;1;6;59
201400000009;14;11;2;1100;1;1;1;1;59
201400000010;14;11;30;1930;5;2;8;6;59
201400000011;14;5;2;500;3;1;1;1;59
201400000012;14;6;3;1315;1;1;1;3;59
201400000013;14;11;21;845;1;1;1;6;59
201400000014;14;12;2;930;1;1;8;3;59
201400000015;14;12;19;930;1;1;2;5;59
201400000016;14;1;12;730;2;1;9;6;59
201400000017;14;1;26;1915;3;1;2;3;59
201400000018;14;2;22;945;1;1;7;2;59
201400000019;14;3;14;1500;1;2;1;3;59
201400000020;14;4;18;1630;1;1;1;7;59
201400000021;14;7;2;1400;1;1;1;3;59
201400000022;14;7;14;1915;1;2;1;1;59
201400000023;14;1;13;1415;1;1;1;3;59
201400000024;14;3;11;1100;1;1;1;1;59
201400000025;14;6;4;1400;1;1;1;1;59
201400000026;14;6;19;1330;1;1;1;1;59
201400000027;14;6;19;1530;1;1;1;7;59
201400000028;14;9;5;1345;1;1;1;3;59
201400000029;14;9;17;1245;1;1;1;2;59
201400000030;14;2;6;1100;1;1;1;3;59
201400000031;14;2;21;1445;1;2;1;6;59
201400000032;14;6;12;1815;1;2;7;6;59
201400000033;14;8;5;930;1;2;1;3;59
201400000034;14;9;28;1915;1;1;1;6;59
201400000035;14;10;31;1100;1;2;1;3;59
201400000036;14;12;2;845;2;2;1;6;59
201400000037;14;4;16;1300;1;1;1;6;59
201400000038;14;5;24;45;3;1;1;3;59
201400000039;14;6;15;1630;1;2;1;6;59
201400000040;14;7;10;2230;3;1;1;6;59
201400000041;14;8;1;1715;1;1;1;2;59
201400000042;14;8;14;1015;1;2;1;6;59
201400000043;14;10;7;915;1;2;2;6;59
201400000044;14;10;19;1000;1;1;1;7;59
201400000045;14;11;3;2000;5;1;3;7;59
201400000046;14;3;11;1730;1;2;1;1;59
201400000047;14;6;23;1545;1;1;1;3;59
201400000048;14;12;1;715;3;1;1;5;59
201400000049;14;12;8;430;3;1;9;7;59
201400000050;14;1;8;1800;5;2;2;6;59
201400000051;14;4;5;1515;1;1;7;3;59
201400000052;14;5;28;2000;1;1;1;6;59
201400000053;14;10;21;1115;1;2;3;1;59
201400000054;14;11;12;1000;1;2;1;3;59
201400000055;14;6;10;1245;1;2;1;3;59
201400000056;14;6;14;615;1;1;1;7;59
201400000057;14;6;16;1630;1;1;1;3;59
201400000058;14;6;30;930;1;2;1;7;59
201400000059;14;7;25;1115;1;1;1;6;59
201400000060;14;10;11;1045;1;1;1;1;59
201400000061;14;11;3;845;1;2;2;3;59
201400000062;14;11;15;1530;1;1;8;3;59
201400000063;14;1;4;1815;2;1;2;6;59
201400000064;14;1;11;1945;5;2;1;6;59
201400000065;14;2;23;1015;1;2;1;6;59
201400000066;14;3;3;1600;1;1;1;1;59
201400000067;14;3;23;445;3;1;1;7;59
201400000068;14;4;1;1245;1;1;1;1;59
201400000069;14;5;23;2015;1;1;1;1;59
201400000070;14;7;16;645;1;1;1;3;59
201400000071;14;7;16;800;1;1;1;5;59
201400000072;14;8;22;2045;1;1;1;3;59
201400000073;14;9;6;2145;3;1;1;6;59
201400000074;14;9;13;1700;1;2;1;7;59
201400000075;14;9;14;1100;1;2;1;6;59
201400000076;14;10;26;1730;2;1;1;1;59
201400000077;14;11;1;1815;3;1;1;1;59
201400000078;14;11;3;1845;2;1;8;2;59
201400000079;14;7;4;1545;1;2;1;3;59
201400000080;14;12;10;1600;1;1;1;7;59
201400000081;14;12;23;1445;1;2;1;3;59
201400000082;14;4;5;1815;1;1;1;3;59
201400000083;14;4;18;1815;1;2;1;6;59
201400000084;14;8;15;330;5;2;1;6;59
201400000085;14;9;7;1945;1;1;1;3;59
201400000086;14;10;22;345;3;1;1;6;59
201400000087;14;1;6;830;2;1;1;6;59
